"	Most Completed Swaps of a Face Swap Card"


"	product_id","	Face Swap Completed--All Users"
"	679c9cf541e9b93cc548ae6b","	1.0"
"	67e5eef620c2fb7e2c1659c7","	1.0"
"	6777bbe861d6932ec1a74820","	1.0"
"	681e6dff62ca674064b07dca","	1.0"
"	67ff5af1ee8ac970c5d76ea0","	1.0"
"	680ba73ebb56f6239add6228","	1.0"
"	672dd85611cd070f9e43de4a","	1.0"
"	679797809f1584566fd72eda","	1.0"
"	67bde48440d8364428172ae4","	1.0"
"	681b192f350ec064a9c7cc89","	1.0"
"	67768b7361d6932ec1a747d3","	1.0"
"	679a581a40d83644281708d4","	1.0"
"	678536954a117054a994238e","	1.0"
"	6777cfe2b815ad6affbffb20","	1.0"
"	681de2173d91122735d3f5e5","	1.0"
"	66eaef5e8ef9d80059d4e442","	1.0"
"	66d981ead4c3165189fa3e53","	1.0"
"	6756231145fa343ca9f6f85c","	1.0"
"	677806fbca84ca57b0f36ed8","	1.0"
"	67562d639cc67642553686d1","	1.0"
"	681e1f103d91122735d3f606","	1.0"
"	6762ad1485e12f1765a66d55","	1.0"
"	67b493e7a965f252676ff71e","	1.0"
"	67657c66758dd553f9c2be17","	1.0"
"	6877b093725eee4c337edca2","	1.0"
"	680ad378b46c0a5b4e35443d","	1.0"
"	66fa9d71c9ebfa768b8934eb","	1.0"
"	673cfa829a05691434666e0f","	1.0"
"	66fade73464d7c2c1262d7d8","	1.0"
"	6784283768484868e53f9fd6","	1.0"
"	678fd8e6d8010159511f5ca9","	1.0"
"	673758b773ad8d3614936de3","	1.0"
"	6785218d4a117054a9942375","	1.0"
"	677eb5aa563c09086963820f","	1.0"
"	679233315ad00933f5c6a7d7","	1.0"
"	67768b35b815ad6affbffab6","	1.0"
"	677eb2158c87d2191c0f5cd1","	1.0"
"	66fa9de87112b52af9863f9b","	1.0"
"	681a388f0e882b1e7d33c0cc","	1.0"
"	6839aeb77ecd4e71abd58018","	1.0"
"	683f68e95c6f6b6ab50031e5","	1.0"
"	683095850e882b1e7d33c9dc","	1.0"
"	677d365a8c87d2191c0f5c34","	1.0"
"	680ac85b3175fb6967ec28de","	1.0"
"	681bba470e882b1e7d33c1a1","	1.0"
"	67913b5f5ad00933f5c6a6af","	1.0"
"	68374c06de466a0fd55db0b1","	1.0"
"	681e24aade466a0fd55da6c3","	1.0"
"	67732fe861d6932ec1a7472b","	1.0"
"	682667233d91122735d3f8cb","	1.0"
"	680ae941b958bb5b697f9ac2","	1.0"
"	67e694de8d51f00d4bc8f588","	1.0"
"	677eb778758dd553f9c2c499","	1.0"
"	679a41520321fb105fe6bdfd","	1.0"
"	6792346cd8010159511f5f38","	1.0"
"	673759a073ad8d3614936de4","	1.0"
"	6772af95d5e68d691634f573","	1.0"
"	68157ad43175fb6967ec2c8d","	1.0"
"	676590326c0bed6b6dc9c534","	1.0"
"	680ef3cbbb56f6239add632c","	1.0"
"	673a7ed477b47a4cd0884e45","	1.0"
"	673d01acf6f41572a311f3a4","	1.0"
"	677e6605d5e68d691634f8b6","	1.0"
"	66facc2e712d3a045c6719a1","	1.0"
"	67656f666c0bed6b6dc9c517","	1.0"
"	6773386eed303a0c1cd5e73a","	1.0"
"	686ffd0d7c52361046b2b7d0","	1.0"
"	6799254454f11b49df5145e7","	1.0"
"	677676c7563c090869637f5c","	1.0"
"	677eb5338c87d2191c0f5cd5","	1.0"
"	66e4082f1eb98874f1c8e410","	1.0"
"	680ad2b13e7fe4028a4b7e46","	1.0"
"	66faced084f2b9583673ab0c","	1.0"
"	681c7dccd34bfb25d358f941","	1.0"
"	687b6332725eee4c337edda0","	1.0"
"	678fa8e5c66ac51932da12a0","	1.0"
"	6854a18792228930bed19c0c","	1.0"
"	6799267454f11b49df5145eb","	1.0"
"	675c82a1fc7a5f6c2ff8489f","	1.0"
"	67fd92deb4259a1b1933cc76","	1.0"
"	6765661e758dd553f9c2bdfe","	1.0"
